video_id,channel_id,title,description,publishedAt,categoryId,viewCount,likeCount,dislikeCount,commentCount,topicId,video_title,published,video_views,video_madeforkids,video_likes,video_comment_count,video_length,video_title_clean
vDZHCYCd5Bo,,,,,,,,,,,My 7 Billion Setup Tour,2022-07-01T00:06:28Z,5297824,False,324113,12120,22:3,My 7 Billion Setup Tour
givTOOOPEs4,,,,,,,,,,,Reacting to the greatest cringe of all time,2022-06-28T05:21:49Z,3480875,False,201607,5583,19:41,Reacting to the greatest cringe of all time
njHcxwwqxL8,,,,,,,,,,,We went to Italy,2022-06-24T23:49:00Z,3605577,False,256806,11238,23:57,We went to Italy
cmOZNxxGrJU,,,,,,,,,,,Something is seriously wrong with tiktoks ylyl,2022-06-23T13:15:02Z,2958127,False,219175,4539,12:41,Something is seriously wrong with tiktoks ylyl
XQ93AQ2uCBM,,,,,,,,,,,I accidentally got 2 cars,2022-06-15T09:51:20Z,4198327,False,305425,16096,14:32,I accidentally got 2 cars
HNChn7eK1tM,,,,,,,,,,,Jaiden Smith Did it Again,2022-06-12T08:00:04Z,4329847,False,241121,8383,13:44,Jaiden Smith Did it Again
HcrGMcJJWfc,,,,,,,,,,,New Member to the Family,2022-06-08T22:35:09Z,5951607,False,396882,18121,18:28,New Member to the Family
D0-IrQY4ix8,,,,,,,,,,,Why Japan,2022-06-06T12:31:29Z,4650023,False,310518,11549,25:20,Why Japan
aXVr_zZqGKg,,,,,,,,,,,We Failed,2022-05-31T10:31:04Z,6104954,False,426550,19387,19:25,We Failed
adspgeE7ndU,,,,,,,,,,,I JUST MORBED,2022-05-26T09:42:16Z,4447626,False,296890,9552,14:8,I JUST MORBED
yNsIh0ciYiI,,,,,,,,,,,This show is PEAK Entertainment,2022-05-23T07:30:13Z,4748756,False,290704,9349,16:11,This show is PEAK Entertainment
mdNEZlLkPA4,,,,,,,,,,,First time driving in Japan,2022-05-21T09:15:02Z,5500172,False,422145,23642,16:15,First time driving in Japan
R55ACTWHvBY,,,,,,,,,,,cant believe markiplier did this to me,2022-05-18T22:46:23Z,4111402,False,308419,10800,13:25,cant believe markiplier did this to me
ZBgJJPZjg2k,,,,,,,,,,,whats next,2022-05-15T08:11:54Z,6194311,False,561463,25587,8:19,whats next
N2N5ZwX6U20,,,,,,,,,,,It finally happened,2022-05-09T22:56:04Z,8223320,False,829577,44997,13:58,It finally happened
F-yEoHL7MYY,,,,,,,,,,,I tried to beat Elden Ring Without Dying,2022-04-30T16:40:18Z,7629868,False,376597,15242,53:47,I tried to beat Elden Ring Without Dying
Ahzrv1TQGHY,,,,,,,,,,,Caught in 4K,2022-04-24T16:11:07Z,3408406,False,214828,5866,13:14,Caught in 4K
Td4Pd_9oyn8,,,,,,,,,,,I went to a rave it didnt go well,2022-04-21T17:08:23Z,2275271,False,120218,3922,12:54,I went to a rave it didnt go well
YM3uJ6RtBZM,,,,,,,,,,,I cant believe this is real,2022-04-15T17:34:51Z,3416077,False,254114,6406,14:11,I cant believe this is real
pqh4LfPeCYs,,,,,,,,,,,I Try Every Massager on Wish,2022-04-11T16:40:44Z,2517113,False,200161,6556,15:28,I Try Every Massager on Wish
fUWn6BYrYK8,,,,,,,,,,,She Lied about Her Age And Size 90 day Fiance,2022-04-05T16:32:35Z,4189887,False,191275,6437,20:36,She Lied about Her Age And Size 90 day Fiance
RF78s4nphEY,,,,,,,,,,,You Blaff u Bloof success,2022-03-31T16:45:00Z,2662078,False,182272,4097,10:43,You Blaff u Bloof success
-fWXLAkHmxA,,,,,,,,,,,Hitman VR is Hilariously Bad,2022-03-29T18:24:38Z,3573305,False,207032,6379,19:43,Hitman VR is Hilariously Bad
JIz0-6_mPIE,,,,,,,,,,,Gender Reveals Are Something Else,2022-03-24T17:30:02Z,3212577,False,193378,6459,22:46,Gender Reveals Are Something Else
73XDeGdl94w,,,,,,,,,,,My Workout 10 Muscle increase,2022-03-18T19:08:34Z,3291804,False,214414,10190,20:58,My Workout 10 Muscle increase
YlvcFJOE-OE,,,,,,,,,,,Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,507560,False,82985,2163,40,Giving iPhones Instead Of Candy on Halloween
iogcY_4xGjo,,,,,,,,,,,1 vs 1000000 Hotel Room,2022-10-22T21:00:00Z,52356337,False,2831043,95561,15:41,1 vs 1000000 Hotel Room
S_CUEOBZ0P4,,,,,,,,,,,The Rock Vs MrBeast For 100000,2022-10-21T20:00:06Z,57942060,False,5444689,31385,55,The Rock Vs MrBeast For 100000
gHzuabZUd6c,,,,,,,,,,,Survive 100 Days In Circle Win 500000,2022-09-24T19:59:59Z,64951336,False,2914929,81440,17:57,Survive 100 Days In Circle Win 500000
65fN_OUawjk,,,,,,,,,,,100 Person Extreme Hide Seek,2022-09-03T19:59:59Z,47190662,False,2146575,61792,12:23,100 Person Extreme Hide Seek
jdMNoQE3mIQ,,,,,,,,,,,I Survived A Plane Crash,2022-08-20T20:00:00Z,62839702,False,2602064,75157,8:14,I Survived A Plane Crash
2isYuQZMbdU,,,,,,,,,,,I Gave My 100000000th Subscriber An Island,2022-08-04T19:59:59Z,78108529,False,4068893,228787,15:31,I Gave My 100000000th Subscriber An Island
dZklZVaU4AI,,,,,,,,,,,100000000 Subscriber Special,2022-07-31T21:00:01Z,23114436,False,1444963,91898,15,100000000 Subscriber Special
tVWWp1PqDus,,,,,,,,,,,100 Girls Vs 100 Boys For 500000,2022-07-23T20:00:09Z,89021333,False,3256331,136716,16:53,100 Girls Vs 100 Boys For 500000
vaIgyRoUkQI,,,,,,,,,,,I Didnt Eat Food For 30 Days,2022-07-02T20:00:02Z,55750004,False,2603047,101819,13:4,I Didnt Eat Food For 30 Days
Hwybp38GnZw,,,,,,,,,,,I Built Willy Wonkas Chocolate Factory,2022-06-04T20:00:02Z,116569846,False,4731215,175712,17:1,I Built Willy Wonkas Chocolate Factory
hD1YtmKXNb4,,,,,,,,,,,10000 Every Day You Survive Prison,2022-04-09T20:00:00Z,107020773,False,3799268,156071,13:59,10000 Every Day You Survive Prison
LnlKwzc_TNA,,,,,,,,,,,Would You Swim With Sharks For 100000,2022-03-19T20:02:32Z,95883393,False,3106652,103135,9:1,Would You Swim With Sharks For 100000
