video_id,new_length
1nO-WNIUJ44,228.0
jMYZapLz-Yw,15.0
Cb_bj7uNS34,583.0
h13w1UaTSO0,492.0
7kxFm0zu0hQ,360.0
ofmt4diae_c,279.0
lWT03S3DWe0,850.0
VxJV_or1Btw,784.0
bdHHoD1Wfsc,337.0
Oj7fEUPdJ_4,174.0
YsPi8DrbcSU,847.0
NW8V0DuxfqA,305.0
71iAOOcLwUE,413.0
LunqD1WlwWk,427.0
jmM3KiXa_zA,391.0
_mQq660iRnU,789.0
tpieA24AS2A,254.0
45_2wXiYJw0,677.0
RoBbmLb2KJQ,486.0
ytXPBB2MV0c,324.0
wMdnCgnYWJo,501.0
vcjycoo8z6M,1032.0
yYux5fRuZhI,345.0
OnlCX1ZKFK4,350.0
HvUYMCOXHzA,919.0
Y84MjrsWUwo,1802.0
eaN-7fBPTEM,1249.0
n8EmChK7VVQ,486.0
qyJvzBbA4Ok,349.0
pjCk-SGrjAw,323.0
MF47E_UPGYU,609.0
CZTCdYsSh_A,1952.0
m82J5TXMu8U,485.0
UKJPX64914k,782.0
DHSNRF-555Q,291.0
IR2O462DTt8,289.0
_l928dd288Q,694.0
dQhjiOeUq24,195.0
Yy7a2LbZC0U,1276.0
x4OM8MhkqjY,569.0
NKH9QJipu3Q,227.0
Bte2ohD9wvQ,352.0
4EBo3s3SV_U,270.0
Y-k_6uQsLrQ,983.0
l7SaPeZAYDI,377.0
VCkuqSq7RHk,430.0
jNqGXswNB_4,277.0
FvWsBV6z2jE,1240.0
EIuW6DSP2zg,266.0
MBV6ShOAEmQ,312.0
UrNs7rJU1J8,745.0
q_9-2llsjXo,253.0
NAAC-IcQcSg,284.0
9uc1fmzsndc,559.0
2QxNl_V7gV4,930.0
BS9o3VQMpwI,3640.0
_BJzxA6uiM0,907.0
QvaYFBCkS7k,3618.0
c-jtKNTwwMU,57.0
0RUFqAESIno,950.0
ifxI-1z68j0,1055.0
kAj7NwcnM7Y,601.0
hm8wsA1Yu1I,3677.0
fte85pzb68s,952.0
n1eGjEDnO3k,1061.0
TIxbxfIkhrE,1055.0
GEFlGCSOxKg,3757.0
Tihr6FjbYAk,1088.0
ukNNBgbJJeA,1057.0
FVXX2IdJCeA,947.0
ohi8W4gnwbY,3732.0
5O0tpTAK1f8,601.0
YQMjr7kpK3U,57.0
ONaDqsUr7NE,962.0
vnSTxeLMxuE,1026.0
VnysTdhzvk8,973.0
JrpXosnVMNE,1032.0
TsxsG0a_oVE,975.0
SmbDNLSP2_s,3612.0
3Fe3tOM7h7I,1016.0
5sib_3EVpAw,936.0
M4kDfikGdhM,985.0
KjuRM9jTo4Q,541.0
75xsNC04ots,3657.0
QJCeCxPJzd4,965.0
_tMTAptrNCc,1035.0
L-15kELAOcc,15.0
XNWthTQ_brw,934.0
dymcEwYaC9c,919.0
xltG7t2S5Ck,975.0
e1t0SYgZ8Uw,39.0
jm1Ua3uYrpE,602.0
KPDbA6XncBY,929.0
a91TEQ4Qu6I,941.0
wvM6SvuiHEk,3877.0
FPlT05VjWrc,949.0
JDA_aA3AYns,947.0
9774c5c5rQ4,913.0
tRRRXpeSZyM,3670.0
_k2Mjkzl89g,1015.0
4jL_nqZkv-o,15.0
Lxs4jfEu3ow,1044.0
CkIQJWQgP2Q,1005.0
aIMkpN-q-vg,994.0
_lpSCOZ1PCo,213.0
-78y2WW4YDA,11.0
UWrBS-4pSfM,4.0
jur26nGiqOY,194.0
Bv3LvcQjWlI,13.0
xVzJSUpp9L4,6.0
Zxxl386UQqo,61.0
aUqQghE4yKI,16.0
DrsBNM6iqak,38.0
5MQzBE-KJVY,204.0
kF4QRGQM2ig,188.0
UAhGvhvcoyY,1971.0
Q7umFEPSHpU,16.0
w3uYy67vuH4,190.0
nh5b7cH8a5U,16.0
vYnXM2hxVYc,187.0
pmYNY-rBh00,154.0
HFxqtUNPMws,120.0
esLKaIh4nr0,206.0
F1kwDu7mLTw,168.0
HvCuQOUndgE,264.0
J41JVFDc4B0,167.0
1DFkluPS4JI,186.0
_fthgObi-Ro,181.0
Lzdc6YzruAk,163.0
NgxphTU1mA4,176.0
yZ2mytHtlpk,195.0
oZOU306yv2g,230.0
4FDmH922dDA,146.0
dFy-2PF36Sw,95.0
p1ZNAHZGGhw,180.0
HIGcFrWMNdc,11.0
1qORX_YbyDw,3641.0
NShOi02d_W4,30.0
gDEbXJWEESI,651.0
gX3YT_aefcA,6433.0
oBeQvxFbJpI,6535.0
liIEB8qUjTY,12.0
16Yf6DWjeyI,3789.0
aPcT0cYIr4M,11.0
xBtLGfKwgjc,2941.0
M42UzE-SBhQ,16.0
ESbCSW9lBVw,5972.0
UsN_rhHh2S0,22.0
Vx9NYVz6uME,619.0
ARnZqnhHMB8,60.0
a5FZ0ya39xs,
qdT25kDURbo,7120.0
wK_RGay77uU,15.0
-1Wl9JGZwP4,542.0
sH8DhhaCFHg,11.0
-FM3QeHGCV0,3720.0
qy0BcRqSxEw,14.0
KEvmwEUeA_w,1666.0
2CCjw57xivs,11.0
QT0x8KGQgvs,618.0
48I_cQCjBCk,458.0
Z4_4X9Rjq8w,9.0
4ks6ITaoQFA,127.0
qfWme0_xlhs,3742.0
f--qFQ71KuI,61.0
dO0w78UHXXQ,3190.0
F03EkzpwPX0,29.0
dHaHrEctlDU,559.0
tZI-nJAEUyE,43.0
nuE5SdIgySk,204.0
3IqvFlq5n0g,4280.0
kDUye0eu4tY,22.0
m8IuaBQMA58,37.0
hF7irPUVss8,204.0
Y4Mf2vln_xk,208.0
oxDNxOzV-aM,587.0
2cKFDI4_KKY,3772.0
CFl8gwQ6gaU,11.0
xcxH40OuF_Q,213.0
cN0MAegZ4JM,178.0
JPXsYQ4mXAY,29.0
APyGL-haX2o,88.0
LPBprPIkEnY,201.0
hF6X2ap_6Q8,855.0
etV_nxVU6l8,676.0
oW-ayP9BbHs,56.0
_snnKw-EywM,471.0
DK0xCH--t8k,1263.0
ehPugxlo_oY,743.0
_YUc8tXDjxQ,622.0
4oe-Cy_dIQk,17.0
jcwaXQ2tGl8,28.0
TJc4HjMBpSM,60.0
fIgysTSIXfE,969.0
venrE8gdz30,638.0
s1tEvufgEyU,924.0
IlhYyVRklDI,42.0
7VzDrqjhcXs,507.0
_CH8uu3L4D0,649.0
pQuk3t2aeBo,654.0
gmuAN_n3_tY,55.0
DZcRaZ-nDeA,574.0
heIKaaamvdc,678.0
GsLopdvhFpk,507.0
UoVNtD-0kTI,584.0
LDKDyn_D9pQ,291.0
CYdSF0tND4A,23.0
Xixpb9qEDw0,1181.0
3QwpRXR-IUc,601.0
4qjZH9T8jlE,51.0
YJljg4t-LGI,933.0
6fBqGUaJ0tc,1199.0
hj5Xv2L2X4M,1987.0
mt81k1z4VIw,466.0
8XUDSIxQRU4,808.0
Flj-KI9fOoM,1182.0
t8JCJZM8tCw,483.0
rzi_iXUTuXY,1092.0
D7f04YOXQq8,1331.0
BTVMLRSsb3o,764.0
RL42Yl4LS6c,1186.0
y2TPOTlPU9M,790.0
2EGuVKx_MXA,763.0
Tl1ycnEFk3I,1472.0
Df_hrHHcQ_g,717.0
I4AgeDIrHGY,1899.0
_eIH4F-24M4,210.0
PAgQHcKMOIk,1578.0
Z8y05MbYm1Q,611.0
8Mc6zZxBTLA,1546.0
qUUloBe5vEo,619.0
n1dEqq2hepw,1556.0
cfZA6udrVUc,297.0
JBLcmKDptdk,219.0
Z_oKozOVU4k,1505.0
5ksrBbLdIy4,113.0
tGxVMfURIRk,173.0
kGKNxWD3LU4,189.0
_CIMWDhgSWc,203.0
FSF7-OFPBx8,117.0
db1GpTnStRo,172.0
0FcI8KuetDE,171.0
f61kIAmnW5k,101.0
Jm66XgGRKBs,185.0
7kCU4WrmhX4,131.0
1vhqWKtlwQI,220.0
f2A5LowZJOE,112.0
TTx8wXmX7IU,196.0
_ibi-oUilH8,179.0
Bl3F5L2Oatg,157.0
m6Rw44zVXVQ,140.0
wwFv4vuocdk,150.0
H12k5WtQjUo,207.0
xuHWE9XiRYM,207.0
rxixH40LdC4,1435.0
7anMsX3JiHw,138.0
7G1xgil3d80,132.0
n2ObYZqO_zo,174.0
s-3fz7yhdaY,169.0
hrjhJ43Iric,114.0
b95IAjcripE,104.0
g2c7HThgTfc,89.0
686jgVnwh5M,163.0
5oUl6HlSW-Q,84.0
sCwrNlEUv6Y,183.0
_gtlQMxFgRQ,198.0
jHLmKs8N6yU,152.0
ldOg0GzsEDg,221.0
G3SBhxBg2Hc,164.0
dq25meTxElg,233.0
1OqURqnxrMA,157.0
gM8eTqlN8RQ,165.0
XAP8gwPXFcg,170.0
c6ocMIW0tgw,116.0
0-94EMbU9d8,190.0
E5Szb50okB8,79.0
Iz8CcMaFNFo,155.0
8ZEXGUczkiY,186.0
